iter	Passed	Remaining
583	5626	4007
584	5634	3997
585	5642	3986
586	5651	3975
587	5658	3964
588	5666	3953
589	5674	3943
590	5682	3932
591	5689	3921
592	5698	3910
593	5705	3899
594	5713	3889
595	5721	3878
596	5730	3868
597	5737	3857
598	5745	3846
599	5753	3835
600	5761	3825
601	5769	3814
602	5778	3804
603	5787	3794
604	5796	3784
605	5804	3774
606	5813	3763
607	5821	3753
608	5829	3742
609	5836	3731
610	5844	3721
611	5851	3710
612	5860	3699
613	5867	3688
614	5876	3678
615	5883	3667
616	5891	3657
617	5899	3646
618	5908	3636
619	5917	3626
620	5926	3616
621	5936	3607
622	5945	3598
623	5954	3587
624	5962	3577
625	5971	3567
626	5978	3556
627	5986	3546
628	5994	3535
629	6002	3525
630	6009	3514
631	6017	3504
632	6026	3494
633	6034	3483
634	6042	3473
635	6050	3462
636	6057	3451
637	6064	3441
638	6073	3431
639	6080	3420
640	6088	3410
641	6096	3399
642	6105	3389
643	6113	3379
644	6121	3369
645	6129	3358
646	6137	3348
647	6146	3338
648	6154	3328
649	6161	3317
650	6170	3307
651	6177	3297
652	6186	3287
653	6193	3276
654	6201	3266
655	6208	3255
656	6217	3245
657	6224	3235
658	6233	3225
659	6240	3214
660	6249	3205
661	6256	3194
662	6265	3184
663	6272	3174
664	6281	3164
665	6289	3153
666	6297	3143
667	6304	3133
668	6313	3123
669	6321	3113
670	6329	3103
671	6337	3093
672	6346	3083
673	6356	3074
674	6365	3065
675	6373	3054
676	6382	3045
677	6391	3035
678	6401	3026
679	6409	3016
680	6416	3005
681	6424	2995
682	6431	2985
683	6438	2974
684	6447	2964
685	6455	2954
686	6462	2944
687	6470	2934
688	6478	2924
689	6485	2913
690	6493	2903
691	6500	2893
692	6508	2883
693	6515	2873
694	6524	2863
695	6532	2853
696	6541	2843
697	6548	2833
698	6557	2823
699	6564	2813
700	6573	2803
701	6580	2793
702	6589	2783
703	6596	2773
704	6605	2763
705	6613	2754
706	6621	2744
707	6630	2734
708	6638	2724
709	6646	2714
710	6655	2705
711	6662	2695
712	6671	2685
713	6678	2675
714	6686	2665
715	6693	2655
716	6702	2645
717	6708	2635
718	6717	2625
719	6724	2615
720	6733	2605
721	6740	2595
722	6748	2585
723	6765	2579
724	6774	2569
725	6786	2561
726	6794	2551
727	6802	2541
728	6809	2531
729	6817	2521
730	6826	2511
731	6834	2502
732	6841	2492
733	6850	2482
734	6858	2472
735	6866	2462
736	6874	2453
737	6881	2443
738	6889	2433
739	6897	2423
740	6905	2413
741	6914	2404
742	6921	2394
743	6930	2384
744	6938	2374
745	6946	2365
746	6954	2355
747	6963	2345
748	6971	2336
749	6979	2326
750	6986	2316
751	6994	2306
752	7002	2297
753	7010	2287
754	7017	2277
755	7026	2267
756	7033	2257
757	7041	2248
758	7049	2238
759	7059	2229
760	7067	2219
761	7076	2210
762	7083	2200
763	7091	2190
764	7099	2180
765	7108	2171
766	7116	2161
767	7124	2152
768	7131	2142
769	7139	2132
770	7147	2122
771	7155	2113
772	7163	2103
773	7172	2094
774	7182	2085
775	7190	2075
776	7199	2066
777	7207	2056
778	7217	2047
779	7225	2037
780	7233	2028
781	7241	2018
782	7249	2009
783	7256	1999
784	7264	1989
785	7272	1980
786	7280	1970
787	7288	1960
788	7295	1951
789	7303	1941
790	7311	1931
791	7318	1922
792	7326	1912
793	7334	1902
794	7341	1893
795	7349	1883
796	7356	1873
797	7366	1864
798	7375	1855
799	7383	1845
800	7390	1836
801	7398	1826
802	7405	1816
803	7413	1807
804	7420	1797
805	7429	1788
806	7436	1778
807	7445	1769
808	7452	1759
809	7460	1750
810	7468	1740
811	7477	1731
812	7484	1721
813	7493	1712
814	7501	1702
815	7510	1693
816	7517	1683
817	7526	1674
818	7533	1664
819	7541	1655
820	7549	1645
821	7556	1636
822	7564	1626
823	7575	1618
824	7584	1608
825	7593	1599
826	7601	1590
827	7610	1580
828	7619	1571
829	7627	1562
830	7634	1552
831	7642	1543
832	7650	1533
833	7658	1524
834	7665	1514
835	7674	1505
836	7681	1495
837	7689	1486
838	7697	1477
839	7706	1467
840	7715	1458
841	7724	1449
842	7733	1440
843	7741	1430
844	7748	1421
845	7756	1411
846	7763	1402
847	7771	1393
848	7778	1383
849	7788	1374
850	7796	1364
851	7803	1355
852	7811	1346
853	7819	1336
854	7826	1327
855	7834	1317
856	7842	1308
857	7850	1299
858	7858	1289
859	7866	1280
860	7874	1271
861	7883	1262
862	7891	1252
863	7900	1243
864	7906	1234
865	7915	1224
866	7923	1215
867	7932	1206
868	7939	1196
869	7948	1187
870	7956	1178
871	7967	1169
872	7974	1160
873	7984	1151
874	7994	1142
875	8003	1132
876	8012	1123
877	8020	1114
878	8029	1105
879	8036	1095
880	8045	1086
881	8052	1077
882	8061	1068
883	8069	1058
884	8077	1049
885	8084	1040
886	8093	1031
887	8101	1021
888	8110	1012
889	8117	1003
890	8125	994
891	8134	984
892	8142	975
893	8149	966
894	8157	957
895	8165	947
896	8173	938
897	8189	930
898	8196	920
899	8205	911
900	8213	902
901	8222	893
902	8229	883
903	8237	874
904	8244	865
905	8253	856
906	8261	847
907	8269	837
908	8276	828
909	8284	819
910	8292	810
911	8299	800
912	8308	791
913	8315	782
914	8323	773
915	8331	763
916	8338	754
917	8346	745
918	8354	736
919	8377	728
920	8389	719
921	8401	710
922	8410	701
923	8418	692
924	8427	683
925	8436	674
926	8444	664
927	8452	655
928	8460	646
929	8468	637
930	8476	628
931	8484	619
932	8492	609
933	8500	600
934	8507	591
935	8517	582
936	8524	573
937	8532	563
938	8539	554
939	8548	545
940	8558	536
941	8565	527
942	8573	518
943	8581	509
944	8588	499
945	8596	490
946	8603	481
947	8612	472
948	8620	463
949	8628	454
950	8635	444
951	8644	435
952	8651	426
953	8659	417
954	8677	408
955	8695	400
956	8703	391
957	8712	381
958	8720	372
959	8728	363
960	8735	354
961	8743	345
962	8750	336
963	8758	327
964	8765	317
965	8773	308
966	8780	299
967	8789	290
968	8799	281
969	8808	272
970	8816	263
971	8825	254
972	8834	245
973	8841	236
974	8850	226
975	8858	217
976	8867	208
977	8875	199
978	8883	190
979	8891	181
980	8899	172
981	8906	163
982	8915	154
983	8923	145
984	8932	136
985	8940	126
986	8948	117
987	8955	108
988	8962	99
989	8969	90
990	8975	81
991	8983	72
992	8989	63
993	8997	54
994	9003	45
995	9010	36
996	9017	27
997	9023	18
998	9031	9
999	9038	0
